data_evento,categoria_evento,operacao,entrada_saida,ticker,ativo_nome,instituicao,quantidade,preco_unitario,valor_total,impacto_caixa,impacto_posicao,impacto_custo_medio,status_importacao
2026-04-15,rendimento,RENDIMENTO,CREDITO,BBGO11,BB FUNDO DE INVESTIMENTO DE CREDITO FIAGRO IMOBILIARIO RESPONSABILIDADE LIMITADA,NU INVEST CORRETORA DE VALORES S.A.,5,0.85,4.25,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,BRCO11,FII BRESCO,BANCO BTG PACTUAL S.A.,2,0.92,1.84,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,BRCR11,FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND,BANCO BTG PACTUAL S.A.,6,0.41,2.46,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,BTCI11,FII BTG PACTUAL CRÉDITO IMOBILIÁRIO,BANCO BTG PACTUAL S.A.,29,0.093,2.69,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,BTCI11,FII BTG PACTUAL CRÉDITO IMOBILIÁRIO,GENIAL INSTITUCIONAL CCTVM S.A.,36,0.093,3.34,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,FATN11,FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I,BANCO BTG PACTUAL S.A.,3,0.8,2.4,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,FATN11,FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I,GENIAL INSTITUCIONAL CCTVM S.A.,4,0.8,3.2,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,FGAA11,FG/AGRO FDO DE INVEST - FIAGRO - IMOBILIÁRIO,BANCO BTG PACTUAL S.A.,21,0.115,2.41,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,HGBS11,HEDGE BRASIL SHOPPING FDO INV IMOB,BANCO BTG PACTUAL S.A.,16,0.17,2.72,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,HGBS11,HEDGE BRASIL SHOPPING FDO INV IMOB,GENIAL INSTITUCIONAL CCTVM S.A.,16,0.17,2.72,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,HGBS11,HEDGE BRASIL SHOPPING FDO INV IMOB,NU INVEST CORRETORA DE VALORES S.A.,58,0.17,9.86,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,HGCR11,PATRIA RECEBIVEIS IMOBILIARIOS - FIM- RESPONSABILIDADE LIMIT,BANCO BTG PACTUAL S.A.,3,0.95,2.85,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,HGCR11,PATRIA RECEBIVEIS IMOBILIARIOS - FIM- RESPONSABILIDADE LIMIT,GENIAL INSTITUCIONAL CCTVM S.A.,3,0.95,2.85,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,HGCR11,PATRIA RECEBIVEIS IMOBILIARIOS - FIM- RESPONSABILIDADE LIMIT,NU INVEST CORRETORA DE VALORES S.A.,21,0.95,19.95,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,HGLG11,PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.,BANCO BTG PACTUAL S.A.,2,1.1,2.2,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,HGLG11,PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.,GENIAL INSTITUCIONAL CCTVM S.A.,2,1.1,2.2,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,JSRE11,JS REAL ESTATE MULTIGESTÃO - FII,BANCO BTG PACTUAL S.A.,4,0.48,1.92,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,JSRE11,JS REAL ESTATE MULTIGESTÃO - FII,GENIAL INSTITUCIONAL CCTVM S.A.,5,0.48,2.4,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,JURO11,SPARTA INFRA FIC FI INFRA RENDA FIXA CP,BANCO BTG PACTUAL S.A.,1,1,1,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,MXRF11,MAXI RENDA FDO INV IMOB - FII,BANCO BTG PACTUAL S.A.,36,0.095,3.42,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,MXRF11,MAXI RENDA FDO INV IMOB - FII,GENIAL INSTITUCIONAL CCTVM S.A.,33,0.095,3.13,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,MXRF11,MAXI RENDA FDO INV IMOB - FII,NU INVEST CORRETORA DE VALORES S.A.,40,0.095,3.8,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,RECR11,FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS,BANCO BTG PACTUAL S.A.,3,1.034,3.1,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,RECR11,FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS,GENIAL INSTITUCIONAL CCTVM S.A.,4,1.034,4.13,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,RZAG11,FDO INV CADEIAS PROD AGRO RIZA AGRO FIAGRO IMOB,BANCO BTG PACTUAL S.A.,34,0.12,4.08,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,RZAG11,FDO INV CADEIAS PROD AGRO RIZA AGRO FIAGRO IMOB,GENIAL INSTITUCIONAL CCTVM S.A.,36,0.12,4.32,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,SAPI11,SANTANDER PAPÉIS IMOBILIÁRIOS FDO DE INV IMOB,BANCO BTG PACTUAL S.A.,28,0.11,3.08,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,TEPP11,TELLUS PROPERTIES - FDO INV. IMOB,BANCO BTG PACTUAL S.A.,30,0.131,3.93,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,TEPP11,TELLUS PROPERTIES - FDO INV. IMOB,GENIAL INSTITUCIONAL CCTVM S.A.,37,0.131,4.84,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,TEPP11,TELLUS PROPERTIES - FDO INV. IMOB,NU INVEST CORRETORA DE VALORES S.A.,50,0.131,6.55,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,TGAR11,FUNDO DE INVESTIMENTO IMOBILIARIO TG ATIVO REAL,NU INVEST CORRETORA DE VALORES S.A.,22,0.72,15.84,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,TRXF11,TRX REAL ESTATE FDO. INV. IMOB. - FII,BANCO BTG PACTUAL S.A.,1,0.93,0.93,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,TVRI11,TIVIO RENDA IMOBILIARIA FI IMOBILIARIO RESP LTDA,BANCO BTG PACTUAL S.A.,3,1.05,3.15,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,VILG11,FII VINCI LG,BANCO BTG PACTUAL S.A.,3,0.82,2.46,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,VILG11,FII VINCI LG,GENIAL INSTITUCIONAL CCTVM S.A.,3,0.82,2.46,aumenta,sem alteração,não altera,OK
2026-04-15,rendimento,RENDIMENTO,CREDITO,XPCI11,XP CREDITO IMOBILIÁRIO - FDO INV IMOB,BANCO BTG PACTUAL S.A.,1,0.85,0.85,aumenta,sem alteração,não altera,OK
2026-04-14,rendimento,RENDIMENTO,CREDITO,HABT11,HABITAT RECEBÍVEIS PULVERIZADOS - FII,BANCO BTG PACTUAL S.A.,1,0.95,0.95,aumenta,sem alteração,não altera,OK
2026-04-14,rendimento,RENDIMENTO,CREDITO,HABT11,HABITAT RECEBÍVEIS PULVERIZADOS - FII,NU INVEST CORRETORA DE VALORES S.A.,24,0.95,22.8,aumenta,sem alteração,não altera,OK
2026-04-14,rendimento,RENDIMENTO,CREDITO,KNCA11,KINEA CRÉDITO AGRO FIAGRO-IMOBILIÁRIO,BANCO BTG PACTUAL S.A.,3,0.95,2.85,aumenta,sem alteração,não altera,OK
2026-04-14,rendimento,RENDIMENTO,CREDITO,KNCA11,KINEA CRÉDITO AGRO FIAGRO-IMOBILIÁRIO,GENIAL INSTITUCIONAL CCTVM S.A.,3,0.95,2.85,aumenta,sem alteração,não altera,OK
2026-04-14,rendimento,RENDIMENTO,CREDITO,KNCA11,KINEA CRÉDITO AGRO FIAGRO-IMOBILIÁRIO,NU INVEST CORRETORA DE VALORES S.A.,4,0.95,3.8,aumenta,sem alteração,não altera,OK
2026-04-14,rendimento,RENDIMENTO,CREDITO,KNCR11,KINEA RENDIMENTOS IMOBILIÁRIOS FDO INV IMOB - FII,BANCO BTG PACTUAL S.A.,3,1.15,3.45,aumenta,sem alteração,não altera,OK
2026-04-14,rendimento,RENDIMENTO,CREDITO,KNCR11,KINEA RENDIMENTOS IMOBILIÁRIOS FDO INV IMOB - FII,GENIAL INSTITUCIONAL CCTVM S.A.,3,1.15,3.45,aumenta,sem alteração,não altera,OK
2026-04-14,rendimento,RENDIMENTO,CREDITO,KNSC11,KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIARIO RESP LIMITADA,BANCO BTG PACTUAL S.A.,39,0.11,4.29,aumenta,sem alteração,não altera,OK
2026-04-14,rendimento,RENDIMENTO,CREDITO,KNSC11,KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIARIO RESP LIMITADA,GENIAL INSTITUCIONAL CCTVM S.A.,37,0.11,4.07,aumenta,sem alteração,não altera,OK
2026-04-14,rendimento,RENDIMENTO,CREDITO,KNSC11,KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIARIO RESP LIMITADA,NU INVEST CORRETORA DE VALORES S.A.,550,0.11,60.5,aumenta,sem alteração,não altera,OK
2026-04-13,rendimento,RENDIMENTO,CREDITO,KNHF11,KINEA HEDGE FUND FII RESPONSABILIDADE LIMITADA,BANCO BTG PACTUAL S.A.,3,1,3,aumenta,sem alteração,não altera,OK
2026-04-13,rendimento,RENDIMENTO,CREDITO,KNHF11,KINEA HEDGE FUND FII RESPONSABILIDADE LIMITADA,GENIAL INSTITUCIONAL CCTVM S.A.,3,1,3,aumenta,sem alteração,não altera,OK
2026-04-09,rendimento,RENDIMENTO,CREDITO,GGRC11,GGR COVEPI RENDA FDO INV IMOB RESPONSAB LTDA,BANCO BTG PACTUAL S.A.,25,0.1,2.5,aumenta,sem alteração,não altera,OK
2026-04-09,rendimento,RENDIMENTO,CREDITO,GGRC11,GGR COVEPI RENDA FDO INV IMOB RESPONSAB LTDA,GENIAL INSTITUCIONAL CCTVM S.A.,33,0.1,3.3,aumenta,sem alteração,não altera,OK
2026-04-09,rendimento,RENDIMENTO,CREDITO,PATL11,PÁTRIA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,BANCO BTG PACTUAL S.A.,4,0.57,2.28,aumenta,sem alteração,não altera,OK
2026-04-08,rendimento,RENDIMENTO,CREDITO,HTMX11,FDO INV IMOB - FII HOTEL MAXINVEST,NU INVEST CORRETORA DE VALORES S.A.,7,1.2,8.4,aumenta,sem alteração,não altera,OK
2026-04-08,rendimento,RENDIMENTO,CREDITO,LVBI11,FII LVBI VBI,BANCO BTG PACTUAL S.A.,2,0.75,1.5,aumenta,sem alteração,não altera,OK
