Produto,Instituição,Emissor,Código,Indexador,Tipo de regime,Data de Emissão,Vencimento,Quantidade,Quantidade Disponível,Quantidade Indisponível,Motivo,Contraparte,Preço Atualizado MTM,Valor Atualizado MTM,Preço Atualizado CURVA,Valor Atualizado CURVA,Preço Atualizado FECHAMENTO,Valor Atualizado FECHAMENTO
CDB - BANCO BTG PACTUAL S.A.,BANCO BTG PACTUAL S.A.,BANCO BTG PACTUAL S.A.,CDB2261M8JC,IPCA,DEPOSITADO,03/02/2026,03/02/2027,2,2,-,-,-, - , - ," R$508,9762165 "," R$1.017,95 ", - , - 
CDB - BANCO C6 CONSIGNADO S.A,NU INVESTIMENTOS S.A. - CTVM,BANCO C6 CONSIGNADO S.A,CDB424465J0,PREFIXADO,DEPOSITADO,05/04/2024,05/04/2029,8000,8000,-,-,-, - , - ," R$1,27441224 "," R$10.195,29 ", - , - 
